21134 2021-11-22 [2, 6, 14, 19, 28]--[1, 6]
21135 2021-11-24 [4, 7, 17, 29, 31]--[5, 6]
21136 2021-11-27 [8, 12, 19, 27, 33]--[2, 5]
21137 2021-11-29 [2, 7, 13, 14, 19]--[4, 5]
21138 2021-12-01 [9, 11, 12, 15, 31]--[5, 11]
21139 2021-12-04 [5, 13, 18, 23, 34]--[8, 9]
21140 2021-12-06 [5, 24, 26, 33, 35]--[9, 12]
21141 2021-12-08 [2, 8, 16, 29, 34]--[5, 12]
21142 2021-12-11 [11, 13, 17, 19, 25]--[2, 9]
21143 2021-12-13 [9, 17, 19, 29, 34]--[4, 11]
21144 2021-12-15 [3, 20, 25, 30, 34]--[2, 9]
21145 2021-12-18 [3, 8, 25, 29, 30]--[1, 6]
21146 2021-12-20 [3, 5, 8, 18, 20]--[9, 11]
21147 2021-12-22 [1, 2, 8, 12, 26]--[1, 7]
21148 2021-12-25 [1, 4, 12, 16, 29]--[4, 8]
21149 2021-12-27 [20, 26, 28, 30, 35]--[10, 11]
21150 2021-12-29 [4, 10, 11, 23, 26]--[7, 10]
22001 2022-01-01 [8, 11, 19, 22, 29]--[3, 11]
22002 2022-01-03 [4, 6, 7, 9, 24]--[4, 12]
22003 2022-01-05 [2, 18, 24, 25, 34]--[8, 12]
22004 2022-01-08 [7, 20, 27, 30, 33]--[3, 4]
22005 2022-01-10 [2, 13, 17, 19, 34]--[5, 9]
22006 2022-01-12 [1, 5, 7, 17, 20]--[5, 12]
22007 2022-01-15 [5, 22, 23, 25, 35]--[3, 11]
22008 2022-01-17 [1, 2, 13, 18, 34]--[6, 7]
22009 2022-01-19 [13, 14, 18, 31, 33]--[7, 10]
22010 2022-01-22 [4, 19, 25, 31, 35]--[2, 11]
22011 2022-01-24 [3, 5, 17, 24, 32]--[5, 12]
22012 2022-01-26 [3, 5, 10, 33, 34]--[7, 10]
22013 2022-02-09 [4, 9, 16, 25, 32]--[5, 6]
22014 2022-02-12 [1, 4, 10, 18, 32]--[1, 9]
22015 2022-02-14 [1, 2, 8, 12, 30]--[5, 12]
22016 2022-02-16 [1, 7, 17, 26, 32]--[1, 9]
22017 2022-02-19 [10, 14, 18, 23, 25]--[7, 11]
22018 2022-02-21 [16, 21, 29, 31, 34]--[6, 9]
22019 2022-02-23 [1, 4, 7, 17, 21]--[1, 2]
22020 2022-02-26 [16, 17, 30, 31, 35]--[8, 9]
22021 2022-02-28 [11, 15, 16, 18, 35]--[6, 9]
22022 2022-03-02 [1, 5, 14, 17, 28]--[6, 7]
22023 2022-03-05 [4, 5, 18, 20, 25]--[11, 12]
22024 2022-03-07 [1, 2, 11, 30, 35]--[1, 12]
22025 2022-03-09 [4, 7, 22, 24, 29]--[1, 7]
22026 2022-03-12 [11, 14, 22, 23, 27]--[8, 10]
22027 2022-03-14 [3, 6, 11, 31, 32]--[5, 12]
22028 2022-03-16 [4, 9, 16, 17, 35]--[1, 7]
22029 2022-03-19 [7, 8, 10, 14, 17]--[10, 12]
22030 2022-03-21 [12, 14, 15, 21, 30]--[1, 9]
22031 2022-03-23 [7, 14, 16, 20, 28]--[4, 8]
22032 2022-03-26 [5, 9, 18, 31, 32]--[1, 5]
22033 2022-03-28 [8, 15, 16, 19, 33]--[3, 4]
22034 2022-03-30 [2, 10, 24, 27, 28]--[6, 7]
22035 2022-04-02 [9, 11, 13, 23, 31]--[5, 8]
22036 2022-04-04 [18, 19, 21, 26, 34]--[6, 7]
22037 2022-04-06 [1, 9, 17, 20, 28]--[6, 10]
22038 2022-04-09 [7, 9, 11, 12, 26]--[9, 12]
22039 2022-04-11 [1, 8, 11, 22, 31]--[5, 11]
22040 2022-04-13 [10, 19, 25, 29, 33]--[8, 12]
22041 2022-04-16 [5, 15, 25, 26, 33]--[6, 11]
22042 2022-04-18 [8, 10, 11, 29, 32]--[2, 6]
22043 2022-04-20 [2, 16, 17, 24, 30]--[9, 12]
22044 2022-04-23 [1, 2, 16, 17, 20]--[3, 7]
22045 2022-04-25 [2, 3, 7, 12, 20]--[1, 5]
22046 2022-04-27 [6, 7, 12, 22, 27]--[3, 5]
22047 2022-04-30 [7, 10, 11, 12, 33]--[3, 11]
22048 2022-05-02 [16, 22, 28, 29, 32]--[8, 9]
22049 2022-05-04 [6, 10, 20, 28, 35]--[1, 10]
22050 2022-05-07 [2, 10, 21, 24, 30]--[8, 10]
22051 2022-05-09 [1, 16, 17, 19, 33]--[5, 6]
22052 2022-05-11 [1, 13, 18, 29, 35]--[4, 9]
22053 2022-05-14 [9, 17, 19, 20, 25]--[1, 9]
22054 2022-05-16 [5, 16, 21, 23, 34]--[7, 10]
22055 2022-05-18 [1, 2, 12, 15, 23]--[4, 6]
22056 2022-05-21 [2, 11, 15, 17, 31]--[7, 9]
22057 2022-05-23 [6, 12, 18, 21, 35]--[7, 10]
22058 2022-05-25 [3, 4, 24, 26, 35]--[7, 8]
22059 2022-05-28 [4, 15, 18, 32, 34]--[4, 9]
22060 2022-05-30 [2, 6, 10, 11, 20]--[3, 9]
22061 2022-06-01 [6, 9, 19, 22, 30]--[1, 6]
22062 2022-06-04 [5, 9, 11, 12, 31]--[7, 11]
22063 2022-06-06 [2, 3, 22, 26, 31]--[6, 10]
22064 2022-06-08 [2, 19, 22, 25, 35]--[5, 7]
22065 2022-06-11 [5, 10, 13, 22, 28]--[1, 4]
22066 2022-06-13 [2, 24, 25, 26, 34]--[3, 12]
22067 2022-06-15 [4, 14, 15, 32, 33]--[10, 11]
22068 2022-06-18 [3, 6, 10, 15, 23]--[3, 8]
22069 2022-06-20 [2, 3, 23, 28, 35]--[2, 9]
22070 2022-06-22 [1, 7, 17, 23, 35]--[7, 11]
22071 2022-06-25 [9, 15, 19, 25, 29]--[8, 9]
22072 2022-06-27 [1, 12, 13, 15, 30]--[3, 7]
22073 2022-06-29 [11, 18, 21, 25, 32]--[2, 4]
22074 2022-07-02 [2, 6, 21, 25, 28]--[2, 6]
22075 2022-07-04 [4, 12, 13, 17, 18]--[7, 9]
22076 2022-07-06 [5, 17, 30, 34, 35]--[2, 9]
22077 2022-07-09 [5, 10, 11, 16, 19]--[1, 10]
22078 2022-07-11 [2, 3, 18, 20, 27]--[1, 2]
22079 2022-07-13 [7, 10, 19, 26, 32]--[8, 12]
22080 2022-07-16 [10, 17, 30, 31, 34]--[3, 6]
22081 2022-07-18 [5, 10, 19, 31, 32]--[9, 10]
22082 2022-07-20 [4, 26, 27, 30, 33]--[2, 9]
22083 2022-07-23 [2, 9, 17, 26, 32]--[4, 6]
22084 2022-07-25 [3, 11, 19, 25, 27]--[4, 12]
22085 2022-07-27 [11, 16, 31, 33, 35]--[6, 8]
22086 2022-07-30 [4, 10, 21, 28, 31]--[8, 11]
22087 2022-08-01 [4, 6, 10, 24, 28]--[6, 12]
22088 2022-08-03 [1, 8, 10, 20, 35]--[6, 11]
22089 2022-08-06 [1, 20, 21, 31, 33]--[3, 11]
22090 2022-08-08 [1, 20, 24, 25, 31]--[9, 12]
22091 2022-08-10 [2, 11, 20, 22, 34]--[4, 12]
22092 2022-08-13 [1, 4, 12, 23, 29]--[5, 12]
22093 2022-08-15 [7, 11, 14, 21, 29]--[7, 10]
22094 2022-08-17 [3, 4, 7, 12, 19]--[2, 5]
22095 2022-08-20 [5, 8, 22, 25, 35]--[2, 7]
22096 2022-08-22 [16, 19, 24, 27, 33]--[1, 6]
22097 2022-08-24 [5, 13, 22, 28, 29]--[5, 11]
22098 2022-08-27 [1, 3, 6, 11, 13]--[3, 11]
22099 2022-08-29 [7, 18, 25, 27, 33]--[4, 5]
22100 2022-08-31 [10, 19, 20, 23, 31]--[3, 7]
22101 2022-09-03 [2, 4, 6, 7, 8]--[3, 6]
22102 2022-09-05 [1, 5, 14, 20, 30]--[2, 4]
22103 2022-09-07 [8, 12, 16, 21, 32]--[1, 12]
22104 2022-09-10 [3, 5, 13, 19, 25]--[2, 5]
22105 2022-09-12 [1, 8, 9, 21, 22]--[1, 4]
22106 2022-09-14 [16, 17, 21, 28, 32]--[4, 7]
22107 2022-09-17 [7, 9, 19, 28, 29]--[8, 10]
22108 2022-09-19 [4, 7, 13, 26, 28]--[7, 11]
22109 2022-09-21 [5, 9, 24, 29, 35]--[5, 12]
22110 2022-09-24 [2, 13, 16, 18, 23]--[3, 6]
22111 2022-09-26 [6, 12, 16, 19, 31]--[6, 10]
22112 2022-09-28 [4, 11, 18, 20, 26]--[6, 12]
22113 2022-10-05 [13, 15, 22, 31, 33]--[5, 12]
22114 2022-10-08 [11, 21, 24, 27, 28]--[5, 10]
22115 2022-10-10 [17, 19, 20, 23, 27]--[3, 8]
22116 2022-10-12 [1, 7, 20, 22, 31]--[7, 12]
22117 2022-10-15 [9, 12, 15, 21, 32]--[2, 7]
22118 2022-10-17 [2, 5, 15, 17, 26]--[2, 8]
22119 2022-10-19 [1, 9, 16, 25, 29]--[4, 9]
22120 2022-10-22 [11, 22, 26, 30, 33]--[3, 5]
22121 2022-10-24 [4, 15, 16, 20, 21]--[4, 5]
22122 2022-10-26 [4, 15, 17, 19, 25]--[6, 12]
22123 2022-10-29 [2, 20, 28, 29, 30]--[7, 10]
22124 2022-10-31 [2, 4, 11, 25, 30]--[6, 12]
22125 2022-11-02 [3, 7, 14, 16, 19]--[1, 11]
22126 2022-11-05 [4, 5, 8, 22, 35]--[1, 3]
22127 2022-11-07 [2, 3, 8, 9, 20]--[4, 10]
22128 2022-11-09 [10, 19, 21, 23, 35]--[4, 10]
22129 2022-11-12 [10, 17, 23, 34, 35]--[1, 4]
22130 2022-11-14 [5, 7, 15, 18, 23]--[5, 10]
22131 2022-11-16 [2, 6, 8, 10, 17]--[5, 6]
22132 2022-11-19 [2, 27, 30, 34, 35]--[9, 12]
22133 2022-11-21 [1, 2, 14, 30, 31]--[6, 9]
22134 2022-11-23 [3, 16, 23, 27, 32]--[3, 6]
22135 2022-11-26 [9, 10, 27, 31, 32]--[1, 3]
22136 2022-11-28 [1, 11, 15, 17, 33]--[3, 11]
22137 2022-11-30 [5, 6, 8, 15, 20]--[7, 8]
22138 2022-12-03 [5, 13, 16, 27, 33]--[7, 12]
22139 2022-12-05 [1, 13, 14, 22, 35]--[2, 5]
22140 2022-12-07 [5, 15, 25, 26, 29]--[4, 12]
22141 2022-12-10 [5, 6, 14, 24, 25]--[2, 4]
22142 2022-12-12 [7, 12, 14, 29, 35]--[1, 11]
22143 2022-12-14 [10, 13, 14, 27, 33]--[7, 8]
22144 2022-12-17 [3, 4, 8, 15, 21]--[4, 7]
22145 2022-12-19 [10, 20, 29, 30, 35]--[6, 9]
22146 2022-12-21 [1, 21, 23, 28, 35]--[7, 9]
22147 2022-12-24 [4, 12, 22, 28, 30]--[9, 11]
22148 2022-12-26 [4, 5, 6, 26, 27]--[7, 12]
22149 2022-12-28 [15, 19, 22, 26, 28]--[2, 7]
22150 2022-12-31 [6, 7, 26, 29, 30]--[3, 12]
23001 2023-01-02 [18, 19, 24, 27, 34]--[11, 12]
23002 2023-01-04 [11, 14, 21, 26, 27]--[2, 7]
23003 2023-01-07 [5, 6, 14, 21, 22]--[2, 9]
23004 2023-01-09 [4, 13, 15, 20, 22]--[4, 8]
23005 2023-01-11 [1, 3, 10, 20, 29]--[6, 11]
23006 2023-01-14 [2, 4, 12, 27, 35]--[6, 7]
23007 2023-01-16 [2, 3, 24, 30, 32]--[1, 6]
23008 2023-01-18 [4, 9, 17, 22, 25]--[1, 5]
23009 2023-01-30 [1, 5, 11, 15, 33]--[1, 10]
23010 2023-02-01 [5, 6, 13, 23, 26]--[1, 6]
23011 2023-02-04 [2, 7, 8, 17, 25]--[1, 3]
23012 2023-02-06 [7, 16, 17, 18, 28]--[2, 3]
23013 2023-02-08 [1, 2, 9, 23, 25]--[2, 6]
23014 2023-02-11 [3, 8, 18, 22, 24]--[1, 9]
23015 2023-02-13 [8, 16, 24, 25, 34]--[8, 12]
23016 2023-02-15 [2, 4, 12, 31, 32]--[7, 11]
23017 2023-02-18 [2, 5, 9, 22, 27]--[10, 11]
23018 2023-02-20 [4, 8, 17, 26, 30]--[3, 11]
23019 2023-02-22 [5, 8, 9, 11, 15]--[6, 8]
23020 2023-02-25 [5, 6, 23, 25, 28]--[6, 9]
23021 2023-02-27 [2, 9, 18, 23, 27]--[3, 5]
23022 2023-03-01 [7, 11, 15, 26, 28]--[8, 10]
23023 2023-03-04 [9, 21, 23, 25, 33]--[3, 10]
23024 2023-03-06 [11, 15, 24, 27, 30]--[1, 10]
23025 2023-03-08 [3, 9, 27, 30, 31]--[11, 12]
23026 2023-03-11 [2, 13, 24, 27, 30]--[1, 6]
23027 2023-03-13 [9, 10, 12, 15, 23]--[3, 6]
23028 2023-03-15 [1, 3, 29, 30, 34]--[4, 12]
23029 2023-03-18 [7, 25, 27, 34, 35]--[9, 11]
23030 2023-03-20 [6, 11, 12, 20, 35]--[5, 12]
23031 2023-03-22 [5, 7, 8, 16, 25]--[3, 11]
23032 2023-03-25 [5, 6, 18, 28, 30]--[2, 7]
23033 2023-03-27 [4, 6, 10, 11, 25]--[7, 9]
23034 2023-03-29 [7, 9, 10, 15, 24]--[4, 12]
23035 2023-04-01 [7, 14, 23, 25, 29]--[2, 11]
23036 2023-04-03 [1, 13, 22, 26, 31]--[2, 10]
23037 2023-04-05 [6, 8, 16, 20, 24]--[7, 8]
23038 2023-04-08 [4, 10, 18, 27, 32]--[10, 12]
23039 2023-04-10 [2, 24, 26, 30, 34]--[6, 7]
23040 2023-04-12 [4, 5, 18, 22, 30]--[5, 12]
23041 2023-04-15 [5, 8, 13, 26, 35]--[5, 9]
23042 2023-04-17 [2, 16, 21, 23, 27]--[1, 8]
23043 2023-04-19 [2, 4, 17, 20, 27]--[1, 8]
23044 2023-04-22 [2, 6, 7, 8, 15]--[7, 10]
23045 2023-04-24 [7, 10, 13, 28, 31]--[4, 5]
23046 2023-04-26 [13, 21, 25, 28, 32]--[2, 10]
23047 2023-04-29 [10, 12, 13, 24, 25]--[11, 12]
23048 2023-05-01 [7, 13, 16, 25, 32]--[9, 11]
23049 2023-05-03 [3, 17, 22, 26, 28]--[7, 12]
23050 2023-05-06 [8, 9, 14, 25, 29]--[4, 6]
23051 2023-05-08 [3, 11, 19, 29, 33]--[3, 12]
23052 2023-05-10 [2, 8, 11, 30, 33]--[5, 8]
23053 2023-05-13 [1, 3, 11, 14, 20]--[2, 11]
23054 2023-05-15 [19, 25, 30, 31, 34]--[7, 9]
23055 2023-05-17 [6, 8, 12, 13, 15]--[1, 6]
23056 2023-05-20 [13, 22, 24, 33, 34]--[1, 2]
23057 2023-05-22 [1, 5, 6, 19, 24]--[5, 11]
23058 2023-05-24 [19, 22, 29, 32, 35]--[5, 8]
23059 2023-05-27 [9, 13, 23, 25, 28]--[4, 7]
23060 2023-05-29 [2, 7, 19, 24, 30]--[9, 12]
23061 2023-05-31 [7, 11, 21, 30, 32]--[5, 7]
23062 2023-06-03 [6, 8, 22, 24, 30]--[1, 8]
23063 2023-06-05 [4, 18, 29, 31, 34]--[6, 9]
23064 2023-06-07 [2, 6, 9, 31, 32]--[3, 7]
23065 2023-06-10 [8, 14, 16, 21, 25]--[3, 12]
23066 2023-06-12 [6, 11, 13, 30, 32]--[1, 3]
23067 2023-06-14 [2, 28, 30, 33, 35]--[2, 10]
23068 2023-06-17 [21, 22, 24, 27, 31]--[7, 8]
23069 2023-06-19 [8, 20, 21, 25, 32]--[5, 7]
23070 2023-06-21 [10, 26, 29, 32, 33]--[3, 11]
23071 2023-06-24 [2, 11, 12, 32, 34]--[10, 12]
23072 2023-06-26 [5, 6, 9, 11, 14]--[2, 4]
23073 2023-06-28 [15, 25, 28, 30, 35]--[8, 10]
23074 2023-07-01 [3, 13, 22, 29, 34]--[2, 9]
23075 2023-07-03 [7, 17, 20, 23, 32]--[5, 11]
23076 2023-07-05 [8, 9, 11, 26, 34]--[2, 7]
23077 2023-07-08 [5, 16, 18, 26, 35]--[3, 6]
23078 2023-07-10 [2, 3, 6, 26, 27]--[7, 8]
23079 2023-07-12 [6, 8, 26, 29, 34]--[5, 8]
23080 2023-07-15 [1, 2, 9, 16, 30]--[1, 11]
23081 2023-07-17 [5, 6, 23, 28, 35]--[7, 10]
23082 2023-07-19 [2, 8, 9, 15, 20]--[3, 9]
23083 2023-07-22 [13, 15, 21, 25, 32]--[9, 10]
23084 2023-07-24 [3, 5, 8, 24, 32]--[7, 8]
23085 2023-07-26 [11, 12, 26, 31, 35]--[5, 7]
23086 2023-07-29 [3, 11, 15, 20, 35]--[7, 11]
23087 2023-07-31 [3, 4, 16, 19, 24]--[4, 5]
23088 2023-08-02 [8, 14, 16, 22, 24]--[9, 12]
23089 2023-08-05 [3, 12, 20, 26, 35]--[2, 12]
23090 2023-08-07 [8, 11, 12, 19, 35]--[11, 12]
23091 2023-08-09 [6, 16, 18, 28, 29]--[7, 11]
23092 2023-08-12 [3, 16, 21, 26, 32]--[3, 12]
23093 2023-08-14 [11, 14, 17, 19, 21]--[1, 5]
23094 2023-08-16 [12, 19, 22, 28, 32]--[8, 12]
23095 2023-08-19 [8, 19, 28, 32, 34]--[3, 7]
23096 2023-08-21 [6, 7, 14, 21, 31]--[3, 10]
23097 2023-08-23 [6, 7, 18, 20, 22]--[3, 9]
23098 2023-08-26 [2, 7, 15, 30, 34]--[5, 9]
23099 2023-08-28 [9, 11, 13, 22, 23]--[6, 7]
23100 2023-08-30 [4, 6, 13, 19, 35]--[9, 11]
23101 2023-09-02 [6, 14, 16, 17, 28]--[7, 10]
23102 2023-09-04 [2, 4, 7, 16, 33]--[7, 11]
23103 2023-09-06 [8, 11, 19, 31, 32]--[8, 11]
23104 2023-09-09 [6, 15, 16, 32, 33]--[8, 10]
23105 2023-09-11 [7, 8, 19, 20, 25]--[2, 11]
23106 2023-09-13 [16, 24, 26, 28, 31]--[1, 6]
23107 2023-09-16 [1, 12, 15, 16, 18]--[3, 10]
23108 2023-09-18 [5, 6, 17, 30, 32]--[2, 8]
23109 2023-09-20 [1, 12, 21, 22, 31]--[2, 9]
23110 2023-09-23 [4, 9, 11, 13, 17]--[7, 8]
23111 2023-09-25 [3, 12, 15, 28, 35]--[2, 12]
23112 2023-09-27 [1, 11, 17, 22, 27]--[2, 9]
23113 2023-09-30 [6, 8, 30, 32, 33]--[3, 10]
23114 2023-10-07 [2, 25, 27, 30, 35]--[1, 10]
23115 2023-10-09 [7, 10, 23, 31, 34]--[2, 10]
23116 2023-10-11 [1, 3, 9, 18, 29]--[4, 9]
23117 2023-10-14 [5, 7, 15, 18, 20]--[3, 4]
23118 2023-10-16 [6, 7, 13, 25, 33]--[5, 8]
23119 2023-10-18 [4, 8, 10, 14, 21]--[4, 10]
23120 2023-10-21 [2, 8, 16, 31, 34]--[1, 10]
23121 2023-10-23 [5, 11, 15, 23, 33]--[1, 9]
23122 2023-10-25 [1, 7, 9, 25, 29]--[10, 12]
23123 2023-10-28 [2, 14, 16, 28, 30]--[2, 7]
23124 2023-10-30 [6, 18, 23, 27, 32]--[6, 10]
23125 2023-11-01 [7, 25, 26, 29, 32]--[2, 8]
23126 2023-11-04 [7, 12, 17, 26, 34]--[2, 6]
23127 2023-11-06 [4, 7, 8, 18, 19]--[2, 6]
23128 2023-11-08 [1, 5, 7, 12, 13]--[2, 6]
23129 2023-11-11 [9, 23, 25, 27, 33]--[6, 12]
23130 2023-11-13 [13, 20, 27, 29, 30]--[1, 7]
23131 2023-11-15 [3, 7, 21, 22, 24]--[6, 7]
23132 2023-11-18 [3, 4, 12, 15, 23]--[2, 6]
23133 2023-11-20 [10, 18, 25, 28, 33]--[5, 11]
23134 2023-11-22 [10, 15, 22, 27, 33]--[1, 12]
23135 2023-11-25 [5, 18, 22, 28, 29]--[9, 12]
23136 2023-11-27 [13, 23, 27, 30, 34]--[6, 9]
23137 2023-11-29 [4, 19, 21, 30, 31]--[6, 12]
23138 2023-12-02 [7, 12, 20, 28, 31]--[9, 10]
23139 2023-12-04 [15, 16, 25, 31, 34]--[5, 9]
23140 2023-12-06 [1, 2, 9, 19, 30]--[1, 2]
23141 2023-12-09 [4, 22, 25, 30, 31]--[4, 5]
23142 2023-12-11 [4, 13, 15, 17, 32]--[10, 12]
23143 2023-12-13 [9, 20, 23, 29, 33]--[2, 10]
23144 2023-12-16 [5, 14, 18, 25, 35]--[1, 10]
23145 2023-12-18 [6, 10, 12, 32, 33]--[6, 7]
23146 2023-12-20 [14, 18, 19, 26, 31]--[2, 7]
23147 2023-12-23 [6, 7, 19, 33, 34]--[3, 8]
23148 2023-12-25 [11, 12, 20, 21, 27]--[2, 12]
23149 2023-12-27 [1, 16, 17, 21, 29]--[1, 6]
23150 2023-12-30 [5, 6, 17, 18, 33]--[11, 12]
24001 2024-01-01 [3, 9, 17, 26, 35]--[2, 7]
24002 2024-01-03 [1, 6, 8, 27, 32]--[3, 4]
24003 2024-01-06 [7, 9, 12, 23, 29]--[1, 2]
24004 2024-01-08 [2, 6, 18, 19, 27]--[8, 9]
24005 2024-01-10 [3, 5, 7, 9, 12]--[5, 8]
24006 2024-01-13 [8, 13, 16, 17, 33]--[2, 10]
24007 2024-01-15 [4, 5, 28, 34, 35]--[4, 11]
24008 2024-01-17 [4, 6, 11, 20, 30]--[3, 5]
24009 2024-01-20 [15, 18, 19, 24, 26]--[5, 9]
24010 2024-01-22 [2, 8, 10, 15, 27]--[2, 8]
24011 2024-01-24 [1, 3, 27, 32, 34]--[1, 7]
24012 2024-01-27 [21, 22, 25, 26, 34]--[1, 9]
24013 2024-01-29 [5, 22, 25, 28, 30]--[3, 12]
24014 2024-01-31 [4, 5, 16, 21, 31]--[9, 11]
24015 2024-02-03 [8, 11, 14, 24, 31]--[5, 6]
24016 2024-02-05 [15, 18, 25, 27, 29]--[6, 11]
24017 2024-02-07 [3, 7, 25, 27, 35]--[1, 4]
24018 2024-02-19 [4, 12, 19, 25, 27]--[1, 9]
24019 2024-02-21 [19, 20, 26, 29, 30]--[3, 4]
24020 2024-02-24 [2, 4, 8, 19, 26]--[2, 6]
24021 2024-02-26 [1, 12, 16, 20, 28]--[7, 9]
24022 2024-02-28 [7, 9, 11, 31, 32]--[4, 8]
24023 2024-03-02 [8, 10, 12, 14, 22]--[5, 9]
24024 2024-03-04 [3, 5, 12, 17, 26]--[1, 12]
24025 2024-03-06 [1, 2, 8, 18, 27]--[4, 8]
24026 2024-03-09 [1, 18, 21, 26, 33]--[2, 12]
24027 2024-03-11 [8, 9, 16, 22, 23]--[7, 9]
24028 2024-03-13 [13, 18, 20, 26, 28]--[4, 8]
24029 2024-03-16 [4, 19, 24, 28, 34]--[4, 5]
